"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"142",9,"DJ Chark Jr.",DET,"WR56","6","3 out of 5 stars","-10"
"143",9,"Raheem Mostert",MIA,"RB50","11","4 out of 5 stars","-3"
"144",9,"Noah Fant",SEA,"TE18","11","2 out of 5 stars","+21"
"145",9,"Robert Tonyan",GB,"TE19","14","1 out of 5 stars","+26"
"146",9,"Tyler Higbee",LAR,"TE20","7","3 out of 5 stars","+61"
"147",9,"Gerald Everett",LAC,"TE21","8","4 out of 5 stars","+35"
"148",9,"Kenny Golladay",NYG,"WR57","9","4 out of 5 stars","-3"
"149",9,"George Pickens",PIT,"WR58","9","4 out of 5 stars","-19"
"150",9,"Ryan Tannehill",TEN,"QB21","6","4 out of 5 stars","+5"
"151",9,"Jarvis Landry",NO,"WR59","14","4 out of 5 stars","-14"
"152",9,"Isaiah Spiller",LAC,"RB51","8","2 out of 5 stars","-32"
"153",9,"Rachaad White",TB,"RB52","11","2 out of 5 stars","-25"
"154",9,"Rondale Moore",ARI,"WR60","13","2 out of 5 stars","-19"
"155",9,"Buffalo Bills",BUF,"DST1","7","4 out of 5 stars","+18"
"156",9,"Julio Jones",TB,"WR61","11","4 out of 5 stars","-5"
"157",9,"Tampa Bay Buccaneers",TB,"DST2","11","4 out of 5 stars","+29"
"158",9,"Daniel Jones",NYG,"QB22","9","5 out of 5 stars","+58"
"159",9,"Mac Jones",NE,"QB23","10","4 out of 5 stars","+5"
"160",9,"Jahan Dotson",WAS,"WR62","14","4 out of 5 stars","-14"
"161",9,"Evan Engram",JAC,"TE22","11","4 out of 5 stars","+24"
"162",9,"J.D. McKissic",WAS,"RB53","14","4 out of 5 stars","-26"
"163",10,"Nico Collins",HOU,"WR63","6","3 out of 5 stars","+33"
"164",10,"Austin Hooper",TEN,"TE23","6","5 out of 5 stars","+76"
"165",10,"San Francisco 49ers",SF,"DST3","9","4 out of 5 stars","+43"
"166",10,"Zamir White",LV,"RB54","6","2 out of 5 stars","+3"
"167",10,"Corey Davis",NYJ,"WR64","10","1 out of 5 stars","+17"
"168",10,"Marlon Mack",HOU,"RB55","6","3 out of 5 stars","-5"
"169",10,"Mark Ingram II",NO,"RB56","14","3 out of 5 stars","+3"
"170",10,"Carson Wentz",WAS,"QB24","14","4 out of 5 stars","+18"
"171",10,"Gus Edwards",BAL,"RB57","10","4 out of 5 stars","+3"
"172",10,"Indianapolis Colts",IND,"DST4","14","3 out of 5 stars","+29"
"173",10,"Jared Goff",DET,"QB25","6","3 out of 5 stars","+26"
"174",10,"Justin Tucker",BAL,"K1","10","3 out of 5 stars","-32"
"175",10,"Sony Michel",MIA,"RB58","11","4 out of 5 stars","+22"
"176",10,"Logan Thomas",WAS,"TE24","14","4 out of 5 stars","+44"
"177",10,"Joshua Palmer",LAC,"WR65","8","3 out of 5 stars","-7"
"178",10,"Zach Wilson",NYJ,"QB26","10","1 out of 5 stars","+20"
"179",10,"Mecole Hardman",KC,"WR66","8","2 out of 5 stars","-23"
"180",10,"Denver Broncos",DEN,"DST5","9","3 out of 5 stars","+46"
"181",10,"New Orleans Saints",NO,"DST6","14","3 out of 5 stars","+24"
"182",10,"K.J. Osborn",MIN,"WR67","7","2 out of 5 stars","+5"
"183",10,"Van Jefferson",LAR,"WR68","7","2 out of 5 stars","+19"
"184",10,"Robbie Anderson",CAR,"WR69","13","3 out of 5 stars","+5"
"185",10,"New England Patriots",NE,"DST7","10","3 out of 5 stars","+19"
"186",10,"Los Angeles Rams",LAR,"DST8","7","3 out of 5 stars","+32"
"187",10,"D'Onta Foreman",CAR,"RB59","13","3 out of 5 stars","-10"
"188",10,"Hayden Hurst",CIN,"TE25","10","2 out of 5 stars","+39"
"189",10,"Jameson Williams",DET,"WR70","6","3 out of 5 stars","-35"
"190",10,"Tyler Bass",BUF,"K2","7","4 out of 5 stars","-9"
"191",10,"Davis Mills",HOU,"QB27","6","4 out of 5 stars","-13"
"192",10,"Christian Watson",GB,"WR71","14","3 out of 5 stars","-25"
"193",10,"Baker Mayfield",CAR,"QB28","13","3 out of 5 stars","-18"
"194",10,"Jalen Tolbert",DAL,"WR72","9","3 out of 5 stars","-45"
"195",10,"Marvin Jones Jr.",JAC,"WR73","11","4 out of 5 stars","+8"
"196",10,"Matt Gay",LAR,"K3","7","2 out of 5 stars","-20"
"197",10,"Darrel Williams",ARI,"RB60","13","2 out of 5 stars","-36"
"198",10,"Isiah Pacheco",KC,"RB61","8","3 out of 5 stars","-7"
"199",10,"Ronald Jones II",KC,"RB62","8","3 out of 5 stars","-37"
"200",10,"Dallas Cowboys",DAL,"DST9","9","2 out of 5 stars","-8"
"201",10,"Evan McPherson",CIN,"K4","10","0 out of 5 stars","-43"
"202",10,"Los Angeles Chargers",LAC,"DST10","8","4 out of 5 stars","+32"
"203",10,"Daniel Carlson",LV,"K5","6","2 out of 5 stars","-50"
"204",10,"KJ Hamler",DEN,"WR74","9","4 out of 5 stars","+25"
"205",10,"Boston Scott",PHI,"RB63","7","3 out of 5 stars","+44"
"206",11,"Donovan Peoples-Jones",CLE,"WR75","9","4 out of 5 stars","+15"
"207",11,"Miami Dolphins",MIA,"DST11","11","3 out of 5 stars","+4"
"208",11,"Curtis Samuel",WAS,"WR76","14","4 out of 5 stars","+4"
"209",11,"Green Bay Packers",GB,"DST12","14","3 out of 5 stars","+59"
"210",11,"Brevin Jordan",HOU,"TE26","6","3 out of 5 stars","+51"
"211",11,"Wan'Dale Robinson",NYG,"WR77","9","4 out of 5 stars","-21"
"212",11,"Parris Campbell",IND,"WR78","14","4 out of 5 stars","+11"
"213",11,"Alec Pierce",IND,"WR79","14","4 out of 5 stars","-34"
"214",11,"Kendrick Bourne",NE,"WR80","10","4 out of 5 stars","+38"
"215",11,"Isaiah McKenzie",BUF,"WR81","7","4 out of 5 stars","-47"
"216",11,"Kansas City Chiefs",KC,"DST13","8","3 out of 5 stars","+28"
"217",11,"Tyrion Davis-Price",SF,"RB64","9","2 out of 5 stars","-24"
"218",11,"Harrison Butker",KC,"K6","8","5 out of 5 stars","-52"
"219",11,"Marcus Mariota",ATL,"QB29","14","3 out of 5 stars","+9"
"220",11,"Jamison Crowder",BUF,"WR82","7","4 out of 5 stars","+19"
"221",11,"Ryan Succop",TB,"K7","11","1 out of 5 stars","+24"
"222",11,"Matt Prater",ARI,"K8","13","2 out of 5 stars","-27"
"223",11,"Baltimore Ravens",BAL,"DST14","10","4 out of 5 stars","+37"
"224",11,"Romeo Doubs",GB,"WR83","14","3 out of 5 stars","-72"
"225",11,"Cleveland Browns",CLE,"DST15","9","4 out of 5 stars","+64"
"226",11,"Mo Alie-Cox",IND,"TE27","14","2 out of 5 stars","+49"
"227",11,"A.J. Green",ARI,"WR84","13","2 out of 5 stars","+46"
"228",11,"Pittsburgh Steelers",PIT,"DST16","9","5 out of 5 stars","+36"
"229",11,"Chuba Hubbard",CAR,"RB65","13","3 out of 5 stars","-15"
"230",11,"Philadelphia Eagles",PHI,"DST17","7","2 out of 5 stars","+67"
"231",11,"Jonnu Smith",NE,"TE28","10","4 out of 5 stars","+28"
"232",11,"Jason Sanders",MIA,"K9","11","1 out of 5 stars","+82"
"233",11,"Rodrigo Blankenship",IND,"K10","14","4 out of 5 stars","-18"
"234",11,"David Bell",CLE,"WR85","9","4 out of 5 stars","+4"
"235",11,"Samaje Perine",CIN,"RB66","10","3 out of 5 stars","+27"
"236",11,"D'Ernest Johnson",CLE,"RB67","9","3 out of 5 stars","-5"
"237",11,"Younghoe Koo",ATL,"K11","14","1 out of 5 stars","-1"
"238",11,"Sterling Shepard",NYG,"WR86","9","4 out of 5 stars","+52"
"239",11,"Brandon McManus",DEN,"K12","9","4 out of 5 stars","-15"
"240",11,"Jeff Wilson Jr.",SF,"RB68","9","2 out of 5 stars","-46"
"241",11,"Zack Moss",BUF,"RB69","7","4 out of 5 stars","+74"
"242",11,"Trey Sermon",SF,"RB70","9","2 out of 5 stars","+23"
"243",11,"Damien Williams",ATL,"RB71","14","1 out of 5 stars","+38"
"244",11,"Arizona Cardinals",ARI,"DST18","13","3 out of 5 stars","+65"
"245",11,"Deshaun Watson",CLE,"QB30","9","4 out of 5 stars","-65"
"246",11,"Laviska Shenault Jr.",JAC,"WR87","11","4 out of 5 stars","+38"
"247",11,"Nick Folk",NE,"K13","10","5 out of 5 stars","0"
"248",11,"Zay Jones",JAC,"WR88","11","4 out of 5 stars","+34"
"249",11,"Robbie Gould",SF,"K14","9","3 out of 5 stars","+30"
"250",11,"Jerick McKinnon",KC,"RB72","8","3 out of 5 stars","-4"
"251",11,"Mitch Trubisky",PIT,"QB31","9","3 out of 5 stars","-18"
"252",11,"Cincinnati Bengals",CIN,"DST19","10","4 out of 5 stars","+40"
"253",11,"Tennessee Titans",TEN,"DST20","6","2 out of 5 stars","+10"
"254",11,"Terrace Marshall Jr.",CAR,"WR89","13","3 out of 5 stars","-6"
"255",11,"Byron Pringle",CHI,"WR90","14","3 out of 5 stars","+36"
"256",11,"Jake Elliott",PHI,"K15","7","2 out of 5 stars","+46"
"257",11,"Adam Trautman",NO,"TE29","14","4 out of 5 stars","+42"
"258",12,"Mike Davis",BAL,"RB73","10","4 out of 5 stars","-49"
"259",12,"Dustin Hopkins",LAC,"K16","8","5 out of 5 stars","-16"
"260",12,"Sammy Watkins",GB,"WR91","14","3 out of 5 stars","-77"
"261",12,"Bryan Edwards",ATL,"WR92","14","4 out of 5 stars","+35"
"262",12,"Randall Cobb",GB,"WR93","14","3 out of 5 stars","+31"
"263",12,"Rex Burkhead",HOU,"RB74","6","3 out of 5 stars","+42"
"264",12,"Cameron Brate",TB,"TE30","11","3 out of 5 stars","-39"
"265",12,"Carolina Panthers",CAR,"DST21","13","4 out of 5 stars","+48"
"266",12,"Wil Lutz",NO,"K17","14","4 out of 5 stars","-25"
"267",12,"Minnesota Vikings",MIN,"DST22","7","2 out of 5 stars","-1"
"268",12,"Greg Zuerlein",NYJ,"K18","10","0 out of 5 stars","+85"
"269",12,"Eno Benjamin",ARI,"RB75","13","2 out of 5 stars","-32"
"270",12,"Braxton Berrios",NYJ,"WR94","10","1 out of 5 stars","+57"
"271",12,"Chris Boswell",PIT,"K19","9","3 out of 5 stars","+60"
"272",12,"C.J. Uzomah",NYJ,"TE31","10","3 out of 5 stars","+8"
"273",12,"Dan Arnold",JAC,"TE32","11","4 out of 5 stars","+89"
"274",12,"Mason Crosby",GB,"K20","14","4 out of 5 stars","+84"
"275",12,"Marquez Callaway",NO,"WR95","14","4 out of 5 stars","+13"
"276",12,"Nelson Agholor",NE,"WR96","10","4 out of 5 stars","+72"
"277",12,"Cedrick Wilson Jr.",MIA,"WR97","11","2 out of 5 stars","+9"
"278",12,"Matt Breida",NYG,"RB76","9","3 out of 5 stars","-21"
"279",12,"William Fuller V",FA,"WR98","-","-","-23"
"280",12,"Chicago Bears",CHI,"DST23","14","1 out of 5 stars","+39"
"281",12,"Hassan Haskins",TEN,"RB77","6","4 out of 5 stars","-75"
"282",12,"Washington Commanders",WAS,"DST24","14","1 out of 5 stars","+74"
"283",12,"Greg Joseph",MIN,"K21","7","0 out of 5 stars","-5"
"284",12,"Kenyan Drake",FA,"RB78","-","-","-62"
"285",12,"Myles Gaskin",MIA,"RB79","11","4 out of 5 stars","-50"
"286",12,"Ke'Shawn Vaughn",TB,"RB80","11","2 out of 5 stars","-17"
"287",12,"Graham Gano",NYG,"K22","9","1 out of 5 stars","+43"
"288",12,"Trey McBride",ARI,"TE33","13","3 out of 5 stars","-11"
"289",12,"Joshua Kelley",LAC,"RB81","8","2 out of 5 stars","-59"
"290",12,"Phillip Lindsay",IND,"RB82","14","3 out of 5 stars","-"
"291",12,"Jason Myers",SEA,"K23","11","5 out of 5 stars","+90"
"292",12,"Odell Beckham Jr.",FA,"WR99","-","-","-82"
"293",12,"O.J. Howard",BUF,"TE34","7","3 out of 5 stars","-"
"294",12,"New York Giants",NYG,"DST25","9","2 out of 5 stars","+26"
"295",12,"Kenny Pickett",PIT,"QB32","9","3 out of 5 stars","-82"
"296",12,"Randy Bullock",TEN,"K24","6","3 out of 5 stars","+70"
"297",12,"Seattle Seahawks",SEA,"DST26","11","3 out of 5 stars","-3"
"298",12,"Cairo Santos",CHI,"K25","14","3 out of 5 stars","0"
"299",12,"Kyle Rudolph",TB,"TE35","11","3 out of 5 stars","-82"
"300",12,"Josh Reynolds",DET,"WR100","6","3 out of 5 stars","-"
"301",12,"New York Jets",NYJ,"DST27","10","4 out of 5 stars","+10"
"302",12,"Chris Evans",CIN,"RB83","10","3 out of 5 stars","-47"
"303",12,"Quez Watkins",PHI,"WR101","7","4 out of 5 stars","+57"
"304",12,"Drew Lock",SEA,"QB33","11","3 out of 5 stars","-37"
"305",12,"Ka'imi Fairbairn",HOU,"K26","6","4 out of 5 stars","-"
"306",12,"Tre'Quan Smith",NO,"WR102","14","4 out of 5 stars","+53"
"307",12,"Jacoby Brissett",CLE,"QB34","9","4 out of 5 stars","-54"
"308",13,"Darius Slayton",NYG,"WR103","9","4 out of 5 stars","-"
"309",13,"Jacksonville Jaguars",JAC,"DST28","11","2 out of 5 stars","-"
