,Player,POS,ADP,Rank,FPTS
87,Phillip Lindsay,RB,88.0,66.0,66.0
88,Marvin Jones Jr.,WR,89.0,18.0,227.8
89,Jordan Howard,RB,90.0,91.0,30.7
90,Josh Allen,QB,91.0,1.0,406.2
91,Aaron Rodgers,QB,92.0,3.0,388.1
92,Marlon Mack,RB,93.0,131.0,8.6
93,Kerryon Johnson,RB,94.0,64.0,71.8
94,Matt Breida,RB,95.0,81.0,42.0
95,Diontae Johnson,WR,96.0,21.0,221.8
96,Antonio Gibson,RB,97.0,13.0,202.2
97,Christian Kirk,WR,98.0,51.0,146.4
98,Zack Moss,RB,99.0,46.0,101.6
99,CeeDee Lamb,WR,100.0,22.0,217.7
100,Jamison Crowder,WR,101.0,39.0,172.0
101,Carson Wentz,QB,102.0,22.0,213.4
102,Jared Cook,TE,103.0,18.0,127.4
103,Sterling Shepard,WR,104.0,43.0,162.5
104,Hayden Hurst,TE,105.0,10.0,149.1
105,Emmanuel Sanders,WR,106.0,41.0,164.8
106,San Francisco 49ers,DST,107.0,20.0,90.0
107,Latavius Murray,RB,108.0,34.0,136.2
108,Matthew Stafford,QB,109.0,16.0,270.5
109,Sony Michel,RB,110.0,61.0,75.3
110,Tevin Coleman,RB,111.0,125.0,12.7
111,Jerry Jeudy,WR,112.0,45.0,157.6
112,Darius Slayton,WR,113.0,54.0,141.0
113,Noah Fant,TE,114.0,9.0,149.3
114,Pittsburgh Steelers,DST,115.0,2.0,148.0
115,Henry Ruggs III,WR,116.0,94.0,84.1
116,John Brown,WR,117.0,84.0,96.8
117,Alexander Mattison,RB,118.0,55.0,86.9
118,Austin Hooper,TE,119.0,21.0,113.5
119,Baltimore Ravens,DST,120.0,5.0,141.0
120,Justin Jefferson,WR,121.0,6.0,274.2
121,Preston Williams,WR,122.0,98.0,74.8
122,Buffalo Bills,DST,123.0,9.0,118.0
123,Darrell Henderson Jr.,RB,124.0,36.0,130.3
124,Daniel Jones,QB,125.0,24.0,190.2
125,Duke Johnson Jr.,RB,126.0,58.0,84.4
126,Mecole Hardman,WR,127.0,61.0,128.1
127,Ben Roethlisberger,QB,128.0,14.0,277.2
128,Justin Tucker,K,129.0,7.0,145.0
129,T.J. Hockenson,TE,130.0,5.0,175.3
130,Boston Scott,RB,131.0,50.0,95.6
131,Harrison Butker,K,132.0,13.0,134.0
132,Tony Pollard,RB,133.0,41.0,120.8
133,Golden Tate,WR,134.0,92.0,86.5
134,Robbie Anderson,WR,135.0,19.0,224.1
135,Anthony Miller,WR,136.0,69.0,108.7
136,Mike Gesicki,TE,137.0,7.0,159.3
137,Chase Edmonds,RB,138.0,25.0,168.0
138,DeSean Jackson,WR,139.0,124.0,44.8
139,New England Patriots,DST,140.0,11.0,108.0
140,Jared Goff,QB,141.0,18.0,253.0
141,Chicago Bears,DST,142.0,19.0,92.0
142,Baker Mayfield,QB,143.0,17.0,256.8
143,Wil Lutz,K,144.0,12.0,135.0
144,Nyheim Hines,RB,145.0,15.0,193.2
145,Joe Burrow,QB,146.0,25.0,178.6
146,Mike Williams,WR,147.0,48.0,153.7
147,Sammy Watkins,WR,148.0,87.0,88.4
148,Ryquell Armstead ,RB,149.0,0.0,0.0
149,Ryan Tannehill,QB,150.0,7.0,351.3
150,Cam Newton,QB,151.0,15.0,271.3
151,Minnesota Vikings,DST,152.0,27.0,60.0
152,Jonnu Smith,TE,153.0,16.0,140.2
153,Jalen Reagor,WR,154.0,89.0,87.2
154,Greg Zuerlein,K,155.0,5.0,153.0
155,Jack Doyle,TE,156.0,40.0,64.1
156,Chris Herndon IV,TE,157.0,33.0,73.7
157,N'Keal Harry,WR,158.0,99.0,73.9
158,Jimmy Garoppolo,QB,159.0,39.0,69.4
159,Allen Lazard,WR,160.0,80.0,97.8
160,Blake Jarwin ,TE,161.0,0.0,0.0
161,Breshad Perriman,WR,162.0,78.0,99.1
162,Brandon Aiyuk,WR,163.0,35.0,184.5
163,Michael Pittman Jr.,WR,164.0,79.0,98.9
164,Justin Jackson,RB,165.0,68.0,65.3
165,Adrian Peterson,RB,166.0,40.0,124.5
166,AJ Dillon,RB,167.0,83.0,40.3
167,Damien Harris,RB,168.0,53.0,91.3
168,New Orleans Saints,DST,169.0,7.0,126.0
169,Robbie Gould,K,170.0,24.0,106.0
170,Chris Thompson,RB,171.0,80.0,42.6
171,Darrel Williams,RB,172.0,75.0,54.5
172,Philip Rivers,QB,173.0,20.0,251.0
173,Parris Campbell,WR,174.0,166.0,14.7
174,Gardner Minshew II,QB,175.0,26.0,165.5
175,Drew Lock,QB,176.0,23.0,196.4
176,Larry Fitzgerald,WR,177.0,74.0,100.9
177,Kansas City Chiefs,DST,178.0,12.0,108.0
178,Zane Gonzalez,K,179.0,27.0,98.0
179,Los Angeles Chargers,DST,180.0,23.0,76.0
180,Los Angeles Rams,DST,181.0,1.0,151.0
181,Matt Prater,K,182.0,22.0,117.0
182,Indianapolis Colts,DST,183.0,3.0,145.0
183,Tampa Bay Buccaneers,DST,184.0,8.0,119.0
184,Younghoe Koo,K,185.0,2.0,168.0
185,Jake Elliott,K,186.0,29.0,75.0
186,Eric Ebron,TE,187.0,14.0,141.8
187,Matt Gay,K,188.0,30.0,66.0
188,Dallas Goedert,TE,189.0,20.0,116.4
189,Philadelphia Eagles,DST,190.0,15.0,103.0
190,Seattle Seahawks,DST,191.0,13.0,105.0
191,Benny Snell Jr.,RB,192.0,62.0,74.9
192,Chris Boswell,K,193.0,26.0,100.0
193,Curtis Samuel,WR,194.0,24.0,212.1
194,Dan Bailey,K,195.0,28.0,90.0
195,Ke'Shawn Vaughn,RB,196.0,98.0,23.3
196,Jerick McKinnon,RB,197.0,39.0,126.2
197,Ka'imi Fairbairn,K,198.0,15.0,132.0
198,Kirk Cousins,QB,199.0,11.0,319.2
199,Alshon Jeffery,WR,200.0,154.0,23.5
