,A.J. Brown,Adam Thielen,Allen Robinson II,Amari Cooper,Amon-Ra St. Brown,Brandin Cooks,Brandon Aiyuk,CeeDee Lamb,Chris Godwin,Christian Kirk,Cooper Kupp,Courtland Sutton,DJ Moore,DK Metcalf,Darnell Mooney,Davante Adams,DeAndre Hopkins,DeVonta Smith,Deebo Samuel,Diontae Johnson,Drake London,Elijah Moore,Gabriel Davis,Hunter Renfrow,Ja'Marr Chase,Jaylen Waddle,Jerry Jeudy,JuJu Smith-Schuster,Justin Jefferson,Keenan Allen,Marquise Brown,Michael Pittman Jr.,Michael Thomas,Mike Evans,Mike Williams,Rashod Bateman,Robert Woods,Stefon Diggs,Tee Higgins,Terry McLaurin,Tyler Lockett,Tyreek Hill
2021-09-09,14.9,30.2,9.5,38.9,4.3,18.2,0.0,23.4,23.5,24.0,23.8,2.4,15.4,16.0,7.6,10.6,26.3,19.1,31.9,14.6,0.0,0.7,12.0,13.0,20.9,16.1,13.2,9.2,12.5,19.0,19.4,5.9,0.0,5.4,22.2,0.0,12.4,15.9,15.8,10.2,26.0,37.1
2021-09-23,0.3,17.0,4.7,5.6,1.2,20.7,14.5,9.5,19.6,17.4,30.6,8.7,20.5,22.7,1.9,31.2,5.1,5.8,10.2,0.0,0.0,5.2,3.3,18.7,22.5,17.8,0.0,5.5,26.8,19.0,8.3,13.3,0.0,18.6,33.2,0.0,6.8,12.2,0.0,10.2,7.1,9.7
2021-09-30,0.0,7.6,9.3,15.9,13.0,9.7,2.5,3.3,8.5,1.5,11.4,7.7,31.9,16.5,18.5,12.4,10.7,19.2,35.7,24.2,0.0,0.0,0.0,16.5,13.7,6.3,0.0,3.1,20.4,10.6,19.1,11.9,0.0,14.5,2.1,0.0,14.8,18.4,0.0,30.3,6.4,47.6
2021-10-07,6.8,6.0,7.2,15.0,13.5,5.3,5.2,18.8,14.0,10.0,16.2,25.0,8.8,26.8,6.5,37.6,20.7,14.7,16.1,15.2,0.0,0.0,2.6,11.6,27.9,5.3,0.0,0.6,19.4,13.5,33.5,20.9,0.0,29.3,36.5,0.0,27.0,8.9,10.2,8.6,10.7,14.8
2021-10-14,16.1,29.8,9.3,10.5,9.6,17.9,0.0,36.1,9.3,18.5,34.0,23.4,10.9,11.8,15.5,12.9,20.5,5.1,0.0,18.6,0.0,0.0,4.5,6.6,13.7,29.0,0.0,0.0,14.0,10.0,7.5,5.8,0.0,4.7,4.7,6.9,11.1,23.9,7.4,6.8,5.5,22.6
2021-10-21,27.3,0.0,3.6,0.0,0.0,7.1,1.9,0.0,25.1,15.0,37.6,11.8,13.3,17.6,5.9,19.6,18.3,11.1,21.0,0.0,0.0,10.2,0.0,12.8,34.1,15.3,0.0,0.0,0.0,0.0,19.0,20.5,0.0,31.6,0.0,11.0,15.0,0.0,13.2,25.2,3.2,12.7
2021-10-28,31.5,19.8,5.1,26.2,7.6,20.3,10.5,17.2,28.0,8.6,24.5,6.0,9.9,22.3,12.4,0.0,8.6,2.5,23.1,15.8,0.0,13.1,12.9,0.0,13.1,6.9,7.9,0.0,4.1,19.7,0.0,30.6,0.0,12.8,3.9,0.0,20.7,15.0,13.7,6.5,26.2,27.4
2021-11-04,9.2,8.6,10.8,5.7,0.0,11.6,18.7,4.3,0.0,16.4,20.5,3.9,7.6,0.0,20.6,10.2,0.0,22.6,11.3,11.7,0.0,27.4,0.0,17.9,8.9,16.3,12.9,0.0,17.0,22.4,20.6,17.4,0.0,0.0,7.8,10.2,17.4,14.5,13.8,0.0,0.0,7.3
2021-11-11,3.3,11.5,0.0,9.1,10.1,0.0,5.6,28.6,12.7,12.8,23.2,4.9,6.4,5.6,0.0,14.8,0.0,22.6,30.3,13.3,0.0,13.4,13.5,17.6,0.0,10.1,11.1,0.0,22.9,17.8,9.7,12.1,0.0,14.2,7.3,14.0,0.0,30.2,0.0,11.9,4.3,27.5
2021-11-18,9.8,22.2,0.0,0.0,5.8,3.8,21.5,4.4,19.2,4.5,0.0,0.0,16.0,7.1,23.1,30.5,0.0,10.1,16.4,23.1,0.0,29.6,4.7,7.5,13.0,20.6,0.0,0.0,37.2,20.2,0.0,4.3,0.0,20.3,20.7,5.9,0.0,18.3,3.5,21.3,15.5,20.0
2021-11-25,0.0,23.2,0.0,0.0,6.3,13.5,12.5,0.0,4.7,0.0,18.6,3.7,14.3,2.3,17.5,18.4,0.0,4.2,20.8,18.5,0.0,9.3,6.7,21.6,6.9,28.7,4.5,0.0,13.3,15.5,13.1,9.3,0.0,4.6,7.9,7.1,0.0,20.4,23.4,9.1,12.6,0.0
2021-12-02,0.0,1.0,0.0,6.1,24.8,8.4,8.5,19.2,30.2,1.4,26.9,3.5,0.0,11.0,7.7,0.0,11.2,3.5,0.0,30.5,0.0,20.6,11.0,19.2,10.2,18.0,11.7,0.0,35.6,22.4,10.5,17.0,0.0,16.9,16.0,0.0,0.0,9.1,28.8,5.2,19.8,4.2
2021-12-09,0.0,0.0,3.4,16.1,15.3,18.1,18.6,14.6,20.5,11.6,31.3,1.9,14.4,8.3,2.9,34.1,10.4,0.0,12.9,15.3,0.0,0.0,15.3,28.7,25.3,0.0,9.7,0.0,20.5,0.0,9.1,0.0,0.0,21.1,12.1,17.3,0.0,14.4,16.4,0.0,27.2,11.6
2021-12-16,0.0,0.0,0.0,2.8,23.5,29.2,4.6,11.0,10.9,24.4,34.7,3.2,12.8,11.2,11.6,16.4,0.0,7.0,18.9,9.8,0.0,0.0,25.5,6.2,1.3,0.0,0.0,0.0,14.7,19.8,14.3,1.7,0.0,2.4,7.9,1.5,0.0,13.5,4.3,7.1,0.0,32.8
2021-12-23,31.5,7.0,0.0,21.5,26.0,0.0,14.0,10.4,0.0,11.8,21.3,7.3,10.5,12.1,10.9,33.4,0.0,19.0,28.1,15.1,0.0,0.0,0.0,13.0,19.5,25.2,9.0,0.0,19.6,7.5,9.4,16.5,0.0,0.0,0.0,12.6,0.0,21.5,43.4,7.0,6.0,3.9
2022-01-02,6.1,0.0,7.5,10.8,35.4,19.6,13.4,8.1,0.0,13.9,21.5,9.0,5.9,30.9,19.9,30.6,0.0,8.4,17.2,17.1,0.0,0.0,7.0,20.6,55.6,7.7,0.0,0.0,11.8,14.4,3.8,10.7,0.0,14.7,15.3,12.8,0.0,10.2,9.2,13.1,12.1,10.2
