"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","Pass Yds (O)","Pass TD (O)","Int (O)","Rush Att (O)","Rush Yds (O)","Rush TD (O)","Targets (O)","Rec (O)","Rec Yds (O)","Rec TD (O)","Ret TD (O)","2-PT (O)","Fum Lost (O)","Fum Ret TD (O)","FG 0-19 (K)","FG 20-29 (K)","FG 30-39 (K)","FG 40-49 (K)","FG 50+ (K)","PAT Made (K)","Pts Allow (DT)","Sack (DT)","Int (DT)","Fum Rec (DT)","TD (DT)","Safe (DT)","Blk Kick (DT)","Ret TD (DT)","XPR (DT)","Pts Allow 0 (DT)","Pts Allow 1-6 (DT)","Pts Allow 7-13 (DT)","Pts Allow 14-20 (DT)","Pts Allow 21-27 (DT)","Pts Allow 28-34 (DT)","Pts Allow 35+ (DT)","Image"
"406.p.32723","11","Hurts","Jalen","Phi","Questionable","Q - Ankle","QB","80.7","8.7","$3.0","100%","3144","16","9","139","784","10","1","0","0","0","0","3","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/ROzfhx_6ZjKQlcGSgBE5xQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08292021/32723.png"
"406.p.31833","12","Murray","Kyler","Ari","Available","","QB","43.6","5.0","$13.3","100%","3787","24","10","88","423","5","0","0","7","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/hdYw3OIpEruuKLuCk5pyjA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08182021/31833.png"
"406.p.30423","13","Ekeler","Austin","LAC","Available","","RB","15.5","2.1","$47.8","100%","0","0","0","206","911","12","94","70","647","8","0","2","3","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/blqdNrTx3lNftoHsxd0Rmg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08232021/30423.png"
"406.p.25812","14","Cousins","Kirk","Min","Available","","QB","125.2","13.3","$1.3","84%","4221","33","7","29","115","1","0","0","0","0","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/PWR7hQE3p9Q1bKo2Y6.5wQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252021/25812.1.png"
"406.p.31868","15","Samuel","Deebo","SF","Available","","WR","92.5","10.0","$2.6","100%","24","1","0","59","365","8","121","77","1405","6","0","0","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/yk.BBfGxpSGqJNt873o7EA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08262021/31868.png"
"406.p.27581","16","Adams","Davante","LV","Available","","WR","10.1","1.4","$54.3","100%","0","0","0","0","0","0","169","123","1553","11","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/VbTpmdzpmmP77xJgmtooGQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08232021/27581.png"
"406.p.25718","17","Tannehill","Ryan","Ten","Available","","QB","94.4","10.2","$2.5","100%","3734","21","14","55","270","7","0","0","0","0","0","1","4","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/Mac2IG_8od.iGZVEEDPN.g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10082021/25718.png"
"406.p.32692","18","Jefferson","Justin","Min","Available","","WR","22.8","2.9","$35.3","100%","35","0","0","6","14","0","167","108","1616","10","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/vfMY.tTFZudzJkWYPt7ZCQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08252021/32692.1.png"
"406.p.27564","19","Carr","Derek","LV","Available","","QB","122.2","12.8","$1.6","8%","4804","23","14","40","108","0","0","0","0","0","0","0","5","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/C479d10R2C6QxNszXUn4_A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08212021/27564.png"
"406.p.30161","20","Mixon","Joe","Cin","Available","","RB","22.1","2.8","$39.1","100%","0","0","0","292","1205","13","48","42","314","3","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/mcWDanEsRC34xuvOh_Nmpw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202021/30161.png"
