"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"17","Jordan Matthews (SF)","85","128","997","11.7","78","14","8","0","0","0","1","16","230.7","14.4","0.0%"
"18","Allen Hurns (FA)","64","105","1,031","16.1","80","19","10","0","0","0","1","15","225.1","15.0","0.0%"
"19","Emmanuel Sanders (FA)","76","137","1,135","14.9","75","12","6","3","29","0","2","15","224.4","15.0","0.0%"
"20","Sammy Watkins (GB)","60","96","1,047","17.5","63","18","9","1","1","0","0","13","218.8","16.8","11.6%"
"21","Amari Cooper (CLE)","72","130","1,070","14.9","68","16","6","3","-3","0","1","16","212.7","13.3","92.4%"
"22","T.Y. Hilton (FA)","69","134","1,124","16.3","87","17","5","0","0","0","0","16","211.4","13.2","0.0%"
"23","Mike Evans (TB)","74","148","1,206","16.3","68","21","3","0","0","0","1","15","210.6","14.0","99.1%"
"24","Golden Tate (FA)","90","128","813","9.0","43","7","6","6","41","0","1","16","209.4","13.1","0.0%"
"25","John Brown (FA)","65","101","1,003","15.4","68","11","7","3","22","0","1","15","207.5","13.8","2.0%"
"26","Randall Cobb (GB)","79","129","829","10.5","53","11","6","13","50","0","0","16","202.9","12.7","3.6%"
"27","Kamar Aiken (FA)","75","127","944","12.6","48","11","5","0","0","0","1","16","197.4","12.3","0.0%"
"28","Tavon Austin (BUF)","52","87","473","9.1","66","5","5","52","434","4","2","16","192.7","12.0","0.0%"
"29","Travis Benjamin (FA)","68","125","966","14.2","61","12","5","4","12","0","2","16","191.8","12.0","0.0%"
"30","James Jones (FA)","50","99","890","17.8","65","18","8","0","0","0","0","16","191.0","11.9","0.0%"
"31","Pierre Garcon (FA)","72","111","777","10.8","39","7","6","0","0","0","0","16","185.7","11.6","0.0%"
"32","Rueben Randle (FA)","57","90","797","14.0","72","13","8","0","0","0","0","16","184.7","11.5","0.0%"
"33","Ted Ginn Jr. (FA)","44","96","739","16.8","74","10","10","4","60","0","0","15","183.9","12.3","0.0%"
"34","Willie Snead IV (SF)","69","101","984","14.3","63","15","3","0","0","0","1","15","183.4","12.2","0.0%"
"35","Marvin Jones Jr. (JAC)","65","103","816","12.6","47","13","4","5","33","0","0","16","173.9","10.9","19.8%"
"36","Donte Moncrief (FA)","64","105","733","11.5","33","9","6","0","0","0","0","16","173.3","10.8","0.0%"
"37","Michael Floyd (FA)","52","89","849","16.3","60","13","6","0","0","0","0","15","172.9","11.5","0.0%"
"38","Julian Edelman (FA)","61","88","692","11.3","59","8","7","3","23","0","1","9","172.5","19.2","12.1%"
"39","Martavis Bryant (FA)","50","92","765","15.3","88","10","6","5","37","1","1","11","170.2","15.5","0.0%"
"40","Anquan Boldin (FA)","69","111","789","11.4","51","10","4","0","0","0","1","14","169.9","12.1","0.1%"
"41","Keenan Allen (LAC)","67","89","725","10.8","38","8","4","0","0","0","1","8","161.5","20.2","99.0%"
"42","Alshon Jeffery (FA)","54","94","807","14.9","50","14","4","0","0","0","0","9","158.7","17.6","0.0%"
"43","Terrance Williams (FA)","52","93","840","16.2","42","13","3","0","0","0","0","16","154.0","9.6","0.0%"
"44","Tyler Lockett (SEA)","51","69","664","13.0","49","9","6","5","20","0","1","16","153.4","9.6","85.5%"
"45","Markus Wheaton (FA)","44","79","749","17.0","72","9","5","0","0","0","0","16","150.9","9.4","0.0%"
"46","Stefon Diggs (BUF)","52","84","720","13.8","40","13","4","3","13","0","0","13","149.3","11.5","100.0%"
"47","Danny Amendola (FA)","65","87","648","10.0","41","5","3","2","11","0","1","14","148.3","10.6","0.0%"
"48","Jermaine Kearse (FA)","49","68","685","14.0","50","13","5","0","0","0","0","16","147.5","9.2","0.0%"
"49","Nate Washington (FA)","47","94","658","14.0","49","9","4","0","0","0","0","14","136.8","9.8","0.0%"
"50","Jamison Crowder (BUF)","59","78","604","10.2","44","7","2","2","2","0","1","16","133.6","8.4","4.1%"
"51","Rishard Matthews (FA)","43","61","662","15.4","53","10","4","1","4","0","0","11","133.6","12.1","0.0%"
"52","Cole Beasley (TB)","52","75","536","10.3","30","7","5","0","0","0","2","16","131.6","8.2","4.2%"
"53","Steve Smith (FA)","46","73","670","14.6","50","13","3","0","0","0","0","7","131.0","18.7","0.0%"
"54","Torrey Smith (FA)","33","62","663","20.1","76","8","4","0","0","0","0","16","125.3","7.8","0.0%"
