"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Kenny Golladay","WR","NYG","52","58","48","58","24","0","0","0","31","bye","44","46","38","61","57","61","45","43","666","47.6"
"Adam Humphries","WR","WAS","33","50","34","45","51","31","50","44","bye","38","30","32","34","42","34","40","33","37","658","38.7"
"T.J. Hockenson","TE","DET","78","53","53","58","55","52","55","47","bye","67","42","37","61","0","0","0","0","0","658","54.8"
"Gerald Everett","TE","SEA","39","43","42","0","0","31","33","44","bye","46","42","37","54","38","48","47","51","55","650","43.3"
"Jared Cook","TE","LAC","47","42","46","39","50","36","bye","33","29","34","38","37","35","31","43","39","0","65","644","40.3"
"David Montgomery","RB","CHI","41","52","37","36","0","0","0","0","53","bye","56","59","53","52","51","58","45","49","642","49.4"
"Justin Fields","QB","CHI","5","42","45","58","61","61","66","70","62","bye","30","0","0","62","73","0","0","0","635","52.9"
"Rob Gronkowski","TE","TB","57","51","45","0","0","0","0","6","bye","0","46","55","58","73","63","60","70","50","634","52.8"
"Nick Westbrook-Ikhine","WR","TEN","24","16","53","81","0","29","0","23","22","22","54","52","bye","52","71","39","44","50","632","42.1"
"Alvin Kamara","RB","NO","45","37","52","59","49","bye","61","51","52","0","0","0","0","52","37","31","45","56","627","48.2"
"Josh Jacobs","RB","LV","45","0","0","36","46","36","24","bye","34","31","31","57","50","47","45","48","38","57","625","41.7"
"Leonard Fournette","RB","TB","42","31","26","64","46","47","39","37","bye","31","46","54","61","66","33","0","0","0","623","44.5"
"Mecole Hardman","WR","KC","45","40","51","35","59","49","49","40","42","24","12","bye","9","23","31","30","19","65","623","36.6"
"Demarcus Robinson","WR","KC","48","30","57","0","65","57","57","33","14","26","28","bye","31","0","49","46","39","41","621","41.4"
"David Njoku","TE","CLE","35","36","0","52","46","26","42","38","35","35","47","43","bye","0","56","39","51","39","620","41.3"
"Jack Doyle","TE","IND","45","50","35","21","50","31","50","50","42","37","51","42","42","bye","41","0","0","32","619","41.3"
"Allen Robinson II","WR","CHI","63","52","40","40","53","56","62","56","48","bye","0","0","0","48","0","0","46","53","617","51.4"
"Zay Jones","WR","LV","20","0","22","8","12","0","12","bye","66","46","34","60","51","53","59","52","48","71","614","40.9"
"Jalen Guyton","WR","LAC","53","50","41","42","43","40","bye","35","25","18","41","39","34","42","28","0","32","50","613","38.3"
"Mo Alie-Cox","TE","IND","39","27","28","49","31","24","43","39","38","35","28","39","31","bye","40","63","33","22","609","35.8"
"Darren Waller","TE","LV","81","61","66","53","64","46","0","bye","61","49","44","21","0","0","0","0","0","62","608","55.3"
"Dalvin Cook","RB","MIN","59","47","0","33","0","66","bye","47","43","65","53","29","0","54","57","0","29","26","608","46.8"
"A.J. Brown","WR","TEN","52","74","8","0","41","42","42","67","45","49","42","0","bye","0","0","46","40","56","604","46.5"
"Antonio Gibson","RB","WAS","36","43","31","37","47","23","30","23","bye","46","33","57","55","46","43","22","0","32","604","37.8"
"Rashod Bateman","WR","BAL","0","0","0","0","0","45","46","bye","65","40","57","36","33","48","65","48","59","62","604","50.3"
"Devin Duvernay","WR","BAL","39","37","33","33","64","34","36","bye","41","44","44","35","44","49","22","0","30","18","603","37.7"
"Tyler Johnson","WR","TB","3","17","34","17","38","0","49","39","bye","33","57","48","9","49","70","36","49","52","600","37.5"
"James Conner","RB","ARI","34","24","25","33","29","41","21","22","54","45","68","bye","48","75","33","0","0","46","598","39.9"
"Mike Davis","RB","ATL","54","46","37","51","50","bye","38","34","33","20","26","30","38","39","27","26","27","18","594","34.9"
"Freddie Swain","WR","SEA","23","41","45","25","40","51","43","37","bye","41","20","31","32","27","52","29","36","19","592","34.8"
"Ryan Griffin","TE","NYJ","31","45","33","35","51","bye","50","41","48","55","47","56","32","36","23","0","0","0","583","41.6"
"Aaron Jones","RB","GB","28","45","46","45","44","35","41","48","40","34","0","40","bye","29","39","33","31","0","578","38.5"
"Russell Gage","WR","ATL","49","38","0","0","0","bye","40","0","48","35","40","46","53","52","48","40","42","45","576","44.3"
"Myles Gaskin","RB","MIA","29","45","43","12","37","25","46","40","54","42","53","37","44","bye","26","20","15","7","575","33.8"
"Kendrick Bourne","WR","NE","33","32","55","36","32","25","41","23","33","29","29","33","15","bye","48","30","43","36","573","33.7"
"Ian Thomas","TE","CAR","35","52","0","44","45","40","45","46","38","0","32","40","bye","35","42","24","54","0","572","40.9"
"Adam Trautman","TE","NO","51","0","51","39","48","bye","64","66","67","56","44","0","0","0","35","0","0","50","571","51.9"
"Darrel Williams","RB","KC","14","14","27","24","37","59","46","52","35","45","36","bye","26","23","21","29","49","31","568","33.4"
"Chris Conley","WR","HOU","40","55","49","41","54","32","0","25","27","bye","31","0","30","46","38","50","49","0","567","40.5"
"Olamide Zaccheaus","WR","ATL","0","42","43","61","66","bye","12","21","29","23","25","30","43","0","37","40","51","39","562","37.5"
"DeAndre Hopkins","WR","ARI","61","59","61","75","56","67","59","15","0","0","0","bye","39","68","0","0","0","0","560","56.0"
"D'Andre Swift","RB","DET","63","36","35","52","50","49","52","44","bye","66","35","10","0","0","0","0","36","32","560","43.1"
"Byron Pringle","WR","KC","11","11","30","17","26","32","34","43","0","46","40","bye","41","40","46","55","29","55","556","34.8"
"Javonte Williams","RB","DEN","33","28","27","31","25","38","21","23","37","33","bye","36","60","33","44","22","30","30","551","32.4"
"Gabriel Davis","WR","BUF","43","0","23","31","14","26","bye","32","19","30","19","28","16","65","63","0","66","75","550","36.7"
"Kyle Juszczyk","RB","SF","20","41","48","62","42","bye","0","31","24","40","38","44","32","31","30","32","34","0","549","36.6"
"Robert Woods","WR","LAR","40","58","57","65","66","58","63","58","78","0","bye","0","0","0","0","0","0","0","543","60.3"
"Keelan Cole Sr.","WR","NYJ","0","0","27","36","31","bye","26","55","38","32","13","64","0","55","43","43","50","28","541","38.6"
"DeVante Parker","WR","MIA","45","55","64","47","0","0","0","63","0","0","0","0","49","bye","63","46","58","49","539","53.9"
"Jamison Crowder","WR","NYJ","0","0","0","38","34","bye","52","51","61","64","41","33","46","60","51","0","0","7","538","44.8"
"Sony Michel","RB","LAR","3","16","48","7","23","12","8","20","31","14","bye","12","66","58","48","63","57","52","538","31.6"
"Ray-Ray McCloud","WR","PIT","3","1","47","4","34","52","bye","11","26","61","15","0","40","63","33","45","53","50","538","33.6"
"Darius Slayton","WR","NYG","43","39","9","0","0","0","44","52","31","bye","34","44","52","46","39","61","0","42","536","41.2"
"Nico Collins","WR","HOU","43","2","0","0","0","43","35","39","48","bye","38","37","32","57","36","45","40","41","536","38.3"
"Jarvis Landry","WR","CLE","51","2","0","0","0","0","38","53","32","47","48","56","bye","54","0","54","50","48","533","44.4"
"James Robinson","RB","JAC","47","41","40","53","48","56","bye","8","0","39","29","38","26","35","59","11","0","0","530","37.9"
"Devonta Freeman","RB","BAL","0","10","9","6","20","21","29","bye","57","42","47","40","51","49","39","33","48","27","528","33.0"
"Jonnu Smith","TE","NE","55","29","30","28","40","39","17","49","28","0","33","34","39","bye","17","21","42","25","526","32.9"
"Cedrick Wilson Jr.","WR","DAL","34","36","29","35","52","44","bye","42","51","0","42","54","0","9","0","26","30","42","526","37.6"
"Pharaoh Brown","TE","HOU","59","38","31","34","37","40","29","0","0","bye","54","34","32","0","45","46","42","0","521","40.1"
"Devontae Booker","RB","NYG","24","10","0","7","60","54","59","56","41","bye","21","10","23","28","28","41","27","30","519","32.4"
"Melvin Gordon III","RB","DEN","33","41","36","30","36","43","29","30","41","25","bye","26","0","34","31","23","30","26","514","32.1"
"Saquon Barkley","RB","NYG","29","58","60","56","6","0","0","0","0","bye","36","52","49","38","37","26","30","36","513","39.5"
"Darrell Henderson Jr.","RB","LAR","49","40","0","61","44","54","57","41","47","41","bye","50","0","0","18","5","0","0","507","42.3"
"Tre'Quan Smith","WR","NO","0","0","0","0","0","bye","41","48","61","61","62","45","47","49","40","0","0","52","506","50.6"
"DeAndre Carter","WR","WAS","2","6","5","11","58","12","39","49","bye","49","50","61","49","40","27","13","22","12","505","29.7"
"Tajae Sharpe","WR","ATL","0","13","15","21","63","bye","14","36","47","31","37","46","54","52","33","0","0","38","500","35.7"
"Michael Gallup","WR","DAL","50","0","0","0","0","0","bye","0","0","41","63","71","64","70","65","48","26","0","498","55.3"
"Tommy Tremble","TE","CAR","12","0","19","27","27","38","35","34","34","51","24","25","bye","34","49","41","0","42","492","32.8"
"Ricky Seals-Jones","TE","WAS","0","7","0","62","82","59","72","70","bye","33","0","0","0","31","33","27","13","0","489","44.5"
"Laquon Treadwell","WR","JAC","0","9","0","0","0","7","bye","0","19","23","33","63","55","44","68","64","38","62","485","40.4"
"Nick Chubb","RB","CLE","31","35","40","37","40","0","0","33","27","0","42","30","bye","43","37","41","30","16","482","34.4"
"James Washington","WR","PIT","15","12","66","49","0","8","bye","34","41","76","46","27","22","30","17","22","15","0","480","32.0"
"Rashard Higgins","WR","CLE","0","43","40","41","34","37","42","33","0","26","53","0","bye","0","44","44","41","0","478","39.8"
"Chase Edmonds","RB","ARI","40","39","44","52","37","28","49","35","1","0","0","bye","0","0","29","60","62","0","476","39.7"
"AJ Dillon","RB","GB","16","19","18","29","21","25","13","29","24","36","44","42","bye","35","23","26","39","37","476","28.0"
"Elijah Moore","WR","NYJ","56","57","26","0","23","bye","37","30","46","43","48","59","51","0","0","0","0","0","476","43.3"
"Cordarrelle Patterson","RB","ATL","24","24","26","23","46","bye","46","32","33","15","0","29","34","34","37","25","27","18","473","29.6"
"John Bates","TE","WAS","0","1","1","0","0","13","0","15","bye","47","66","48","38","48","34","45","58","59","473","36.4"
"Kyle Rudolph","TE","NYG","47","49","0","37","41","34","41","21","31","bye","14","0","27","25","27","17","26","34","471","31.4"
"Josh Reynolds","WR","Multi","0","11","0","78","18","0","30","0","0","0","43","43","60","44","41","53","0","49","470","42.7"
"Damiere Byrd","WR","CHI","36","0","0","0","0","15","20","0","0","bye","37","53","65","36","66","62","29","46","465","42.3"
"Chester Rogers","WR","TEN","39","38","28","66","31","15","0","31","19","21","56","15","bye","16","28","31","20","10","464","29.0"
"Chuba Hubbard","RB","CAR","7","19","40","33","46","48","34","41","10","16","0","11","bye","25","36","34","32","32","464","29.0"
