"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"20","2","406.l.12365.t.4","Clark N's Crazy Team","406.p.32736","Gibson","Antonio","17.7","2.3","$43.6","100%"
"21","3","406.l.12365.t.4","Clark N's Crazy Team","406.p.26650","Hopkins","DeAndre","18.8","2.4","$41.6","100%"
"22","3","406.l.12365.t.3","liam's Neat Team","406.p.30161","Mixon","Joe","22.1","2.8","$39.1","100%"
"23","3","406.l.12365.t.9","Iguanas","406.p.33412","Harris","Najee","18.0","2.3","$43.3","100%"
"24","3","406.l.12365.t.2","fernando's Team","406.p.32692","Jefferson","Justin","22.8","2.9","$35.3","100%"
"25","3","406.l.12365.t.6","Arab","406.p.29785","Anderson","Robbie","84.9","9.2","$3.3","100%"
"26","3","406.l.12365.t.1","Scamdemic '21","406.p.32725","Dobbins","J.K.","30.2","3.6","$28.0","47%"
"27","3","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.31883","Brown","A.J.","24.7","3.1","$32.7","100%"
"28","3","406.l.12365.t.10","stroudsburgh eagles","406.p.28514","Davis","Mike","64.3","7.1","$8.7","100%"
"29","3","406.l.12365.t.8","Amy's Official Team","406.p.28592","Waller","Darren","25.3","3.1","$30.5","100%"
"30","3","406.l.12365.t.5","8/27 @ Midnite","406.p.27589","Robinson II","Allen","30.5","3.6","$26.0","100%"
"31","4","406.l.12365.t.5","8/27 @ Midnite","406.p.32702","Edwards-Helaire","Clyde","24.8","3.1","$34.2","100%"
"32","4","406.l.12365.t.8","Amy's Official Team","406.p.31908","McLaurin","Terry","30.4","3.6","$27.2","100%"
"33","4","406.l.12365.t.10","stroudsburgh eagles","406.p.32066","Gaskin","Myles","64.7","7.1","$8.8","100%"
"34","4","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.26699","Allen","Keenan","30.3","3.6","$27.0","100%"
"35","4","406.l.12365.t.1","Scamdemic '21","406.p.30197","Godwin","Chris","35.9","4.2","$18.3","100%"
"36","4","406.l.12365.t.6","Arab","406.p.32685","Jeudy","Jerry","82.2","9.0","$4.2","97%"
"37","4","406.l.12365.t.2","fernando's Team","406.p.32687","Lamb","CeeDee","33.1","3.9","$23.5","100%"
"38","4","406.l.12365.t.9","Iguanas","406.p.30977","Allen","Josh","29.7","3.6","$22.8","100%"
"39","4","406.l.12365.t.3","liam's Neat Team","406.p.30362","Carson","Chris","31.7","3.8","$26.8","100%"
"40","4","406.l.12365.t.4","Clark N's Crazy Team","406.p.33138","Robinson","James","51.5","5.8","$16.7","100%"
"41","5","406.l.12365.t.4","Clark N's Crazy Team","406.p.27535","Evans","Mike","35.9","4.2","$19.6","100%"
"42","5","406.l.12365.t.3","liam's Neat Team","406.p.30259","Kittle","George","31.0","3.7","$26.1","100%"
"43","5","406.l.12365.t.9","Iguanas","406.p.32705","Swift","D'Andre","44.2","5.0","$17.5","100%"
"44","5","406.l.12365.t.2","fernando's Team","406.p.31902","Henderson Jr.","Darrell","52.5","5.8","$14.6","97%"
"45","5","406.l.12365.t.6","Arab","406.p.30777","Tonyan","Robert","82.5","9.0","$2.3","100%"
"46","5","406.l.12365.t.1","Scamdemic '21","406.p.31885","Sanders","Miles","44.5","5.0","$17.9","100%"
"47","5","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.31856","Jacobs","Josh","42.0","4.8","$15.7","100%"
"48","5","406.l.12365.t.10","stroudsburgh eagles","406.p.31838","Jones","Daniel","132.1","14.3","$1.0","15%"
"49","5","406.l.12365.t.8","Amy's Official Team","406.p.30182","Kupp","Cooper","42.0","4.8","$13.3","100%"
"50","5","406.l.12365.t.5","8/27 @ Midnite","406.p.28392","Cooper","Amari","42.2","4.8","$14.4","100%"
"51","6","406.l.12365.t.5","8/27 @ Midnite","406.p.31002","Jackson","Lamar","42.2","4.8","$13.9","100%"
"52","6","406.l.12365.t.8","Amy's Official Team","406.p.31833","Murray","Kyler","43.6","5.0","$13.3","100%"
"53","6","406.l.12365.t.10","stroudsburgh eagles","406.p.8565","Prater","Matt","131.7","13.9","$1.1","18%"
"54","6","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.33392","Pitts","Kyle","47.4","5.4","$12.8","100%"
"55","6","406.l.12365.t.1","Scamdemic '21","406.p.26664","Woods","Robert","44.8","5.1","$12.9","100%"
"56","6","406.l.12365.t.6","Arab","406.p.30199","Hunt","Kareem","63.8","7.0","$7.8","100%"
"57","6","406.l.12365.t.2","fernando's Team","406.p.31840","Hockenson","T.J.","53.7","6.0","$9.4","100%"
"58","6","406.l.12365.t.9","Iguanas","406.p.31898","Johnson","Diontae","61.6","6.8","$6.6","100%"
"59","6","406.l.12365.t.3","liam's Neat Team","406.p.28457","Lockett","Tyler","47.3","5.3","$10.6","100%"
"60","6","406.l.12365.t.4","Clark N's Crazy Team","406.p.29369","Prescott","Dak","53.3","5.9","$8.6","100%"
"61","7","406.l.12365.t.4","Clark N's Crazy Team","406.p.27648","Thomas","Logan","74.6","8.2","$3.3","100%"
"62","7","406.l.12365.t.3","liam's Neat Team","406.p.25785","Wilson","Russell","53.3","5.9","$8.0","100%"
"63","7","406.l.12365.t.9","Iguanas","406.p.31852","Fant","Noah","90.3","9.8","$2.5","100%"
"64","7","406.l.12365.t.2","fernando's Team","406.p.32676","Herbert","Justin","61.1","6.8","$5.8","100%"
"65","7","406.l.12365.t.6","Arab","406.p.7200","Rodgers","Aaron","59.6","6.6","$6.3","100%"
"66","7","406.l.12365.t.1","Scamdemic '21","406.p.100027","","Tampa Bay","84.5","9.1","$2.5","100%"
"67","7","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.5228","Brady","Tom","63.5","7.0","$4.6","100%"
"68","7","406.l.12365.t.10","stroudsburgh eagles","406.p.100033","","Baltimore","95.0","10.2","$1.5","100%"
"69","7","406.l.12365.t.8","Amy's Official Team","406.p.31919","Harris","Damien","65.5","7.2","$7.7","100%"
"70","7","406.l.12365.t.5","8/27 @ Midnite","406.p.29344","Higbee","Tyler","72.1","7.9","$2.9","100%"
"71","8","406.l.12365.t.5","8/27 @ Midnite","406.p.100014","","Los Angeles","72.1","8.1","$2.8","100%"
"72","8","406.l.12365.t.8","Amy's Official Team","406.p.100028","","Washington","80.1","8.8","$1.8","100%"
"73","8","406.l.12365.t.10","stroudsburgh eagles","406.p.31051","Gallup","Michael","119.7","12.8","$1.3","75%"
"74","8","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.100023","","Pittsburgh","85.2","9.3","$1.7","100%"
"75","8","406.l.12365.t.1","Scamdemic '21","406.p.26534","Tucker","Justin","81.5","8.9","$2.8","100%"
"76","8","406.l.12365.t.6","Arab","406.p.33393","Chase","Ja'Marr","87.2","9.5","$3.1","100%"
