"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"213","Frank Darby (ATL)","1","4","14","14.0","14","0","0","0","0","0","0","4","2.4","0.6","0.0%"
"214","Kirk Merritt (NO)","1","3","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"215","Andy Isabella (ARI)","1","1","13","13.0","13","0","0","0","0","0","0","3","2.3","0.8","0.1%"
"216","Marvin Hall (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"217","Tarik Black (NYJ)","1","2","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"218","Tommylee Lewis (FA)","1","2","7","7.0","7","0","0","0","0","0","0","2","1.7","0.9","0.0%"
"219","Miles Boykin (PIT)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.6","0.8","0.1%"
"220","Keke Coutee (IND)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"221","Easop Winston Jr. (FA)","1","1","5","5.0","5","0","0","0","0","0","0","3","1.5","0.5","0.0%"
"222","Malik Taylor (FA)","2","3","14","7.0","7","0","0","0","0","0","1","7","1.4","0.2","0.0%"
"223","Racey McMath (TEN)","2","6","8","4.0","9","0","0","0","0","0","1","6","0.8","0.1","0.0%"
"224","Maurice Ffrench (FA)","0","0","0","0","0","0","0","1","3","0","0","2","0.3","0.2","0.0%"
"225","Isaiah Coulter (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"226","Dan Chisena (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"227","Tutu Atwell (LAR)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.2%"
"228","Pooka Williams Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"229","Demetric Felton Jr. (CLE)","18","21","181","10.1","33","3","2","7","24","0","0","15","0.0","0.0","0.1%"
"230","Josh Hammond (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Matt Cole (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Marquez Stevenson (BUF)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"233","Vyncint Smith (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"234","Damion Ratley (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Jordan Veasy (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"236","John Hightower (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"237","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Tyrie Cleveland (DEN)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"239","Antonio Gandy-Golden (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"241","Quinton Bell (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"243","Jacob Harris (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
