"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"133","Darrel Young (FA)","6","10","1.7","5","0","0","6","6","22","3.7","0","0","16","9.2","0.6","0.0%"
"134","Zach Zenner (FA)","17","60","3.5","12","0","0","2","3","11","5.5","0","0","6","9.1","1.5","0.0%"
"135","Reggie Bush (FA)","8","28","3.5","9","0","0","4","10","19","4.8","0","0","5","8.7","1.7","0.0%"
"136","Anthony Sherman (FA)","1","0","0.0","0","0","0","4","5","34","8.5","0","0","16","7.4","0.5","0.0%"
"137","Stepfan Taylor (FA)","17","58","3.4","16","0","0","1","3","4","4.0","0","0","16","7.2","0.5","0.2%"
"138","Fitzgerald Toussaint (FA)","18","42","2.3","7","0","0","0","0","0","0","0","0","5","6.2","1.2","0.0%"
"139","Jacquizz Rodgers (FA)","14","41","2.9","5","0","0","1","3","10","10.0","0","0","5","6.1","1.2","0.0%"
"140","Malcolm Johnson (FA)","0","0","0","0","0","0","4","6","15","3.8","0","0","12","5.5","0.5","0.0%"
"141","Joey Iosefa (FA)","15","51","3.4","15","0","0","0","0","0","0","0","0","2","5.1","2.6","0.0%"
"142","Bernard Pierce (FA)","6","11","1.8","4","0","0","3","5","7","2.3","0","0","7","4.8","0.7","0.0%"
"143","Bobby Rainey (FA)","5","18","3.6","7","0","0","3","3","16","5.3","0","1","16","4.4","0.3","0.0%"
"144","Derrick Coleman (FA)","8","32","4.0","19","0","0","1","1","0","0.0","0","0","14","4.2","0.3","0.1%"
"145","Roosevelt Nix (FA)","0","0","0","0","0","0","2","3","16","8.0","0","0","15","3.6","0.2","0.0%"
"146","Jay Prosch (FA)","6","33","5.5","16","0","0","0","1","0","0","0","0","16","3.3","0.2","0.0%"
"147","Jorvorskie Lane (FA)","1","0","0.0","0","0","0","2","2","13","6.5","0","0","16","3.3","0.2","0.0%"
"148","Tyler Varga (FA)","1","2","2.0","2","0","0","1","2","18","18.0","0","0","3","3.0","1.0","0.0%"
"149","Aaron Ripkowski (FA)","0","0","0","0","0","0","1","1","18","18.0","0","0","15","2.8","0.2","0.0%"
"150","Malcolm Brown (LAR)","4","17","4.3","13","0","0","1","1","-2","-2.0","0","0","1","2.5","2.5","0.0%"
"151","Jerome Felton (FA)","1","2","2.0","2","0","0","1","2","12","12.0","0","0","16","2.4","0.2","0.0%"
"152","Bruce Miller (FA)","6","14","2.3","4","0","1","10","14","135","13.5","0","0","16","2.2","0.1","0.0%"
"153","Jordan Todman (FA)","4","22","5.5","11","0","0","0","2","0","0","0","0","11","2.2","0.2","0.0%"
"154","Rod Smith (FA)","2","5","2.5","3","0","0","1","2","6","6.0","0","0","11","2.1","0.2","0.0%"
"155","John Crockett (FA)","9","21","2.3","12","0","0","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"156","Alonzo Harris (FA)","4","19","4.8","16","0","0","0","1","0","0","0","0","6","1.9","0.3","0.0%"
"157","Terrence Magee (FA)","2","5","2.5","4","0","0","1","1","2","2.0","0","0","4","1.7","0.4","0.0%"
"158","Corey Grant (FA)","6","2","0.3","11","0","0","2","3","13","6.5","0","1","6","1.5","0.3","0.0%"
"159","Tyler Clutts (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","16","1.4","0.1","0.0%"
"160","Trey Williams (FA)","2","12","6.0","12","0","0","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"161","Antone Smith (FA)","1","11","11.0","11","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"162","Cierre Wood (FA)","2","3","1.5","3","0","0","1","1","-6","-6.0","0","0","2","0.7","0.4","0.0%"
"163","Kendall Hunter (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","2","0.2","0.1","0.0%"
"164","George Winn (FA)","4","1","0.3","2","0","0","0","0","0","0","0","0","7","0.1","0.0","0.0%"
"165","LaMichael James (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"166","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.1%"
"167","Dri Archer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"168","Joe Banyard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"169","Drew Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"170","Kapri Bibbs (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"171","Chase Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"172","Cory Harkey (FA)","0","0","0","0","0","0","5","6","26","5.2","0","0","16","0.0","0.0","0.2%"
"173","Cordarrelle Patterson (ATL)","2","15","7.5","9","0","0","2","2","10","5.0","0","1","16","0.0","0.0","92.9%"
"174","Marcus Thigpen (FA)","1","-1","-1.0","0","0","0","0","0","0","0","0","2","9","0.0","0.0","0.0%"
"175","Cedric Peerman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"176","Dreamius Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"177","Brandon Wegher (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","Keith Smith (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"179","Toben Opurum (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"180","Nikita Whitlock (FA)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"181","Trey Watts (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Isaiah Pead (FA)","2","3","1.5","4","0","0","0","0","0","0","0","1","2","-1.7","-0.9","0.0%"
"183","Marcus Murphy (FA)","1","0","0.0","0","0","0","0","0","0","0","0","1","13","-2.0","-0.2","0.0%"
"184","Raheem Mostert (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","11","-2.0","-0.2","56.6%"
"185","Glenn Winston (FA)","1","-8","-8.0","0","0","0","0","0","0","0","0","1","3","-2.8","-0.9","0.0%"
""
""
